Tiempo_min,Distancia_mm,Fraccion_Dano
0.0,4.0,3.52e-07
0.01,4.0,0.000178
0.02,4.0,0.000357
0.04,4.0,0.000718
0.08,4.0,0.0014
0.12,4.0,0.0022
0.2,4.0,0.0038
0.28,4.0,0.0056
0.44,4.0,0.0096
0.6,4.0,0.0141
0.92,4.0,0.0256
1.24,4.0,0.04
1.88,4.0,0.0799
2.52,4.0,0.1311
3.52,4.0,0.2318
4.52,4.0,0.3418
5.52,4.0,0.4497
6.52,4.0,0.5479
7.52,4.0,0.6329
8.52,4.0,0.7041
9.52,4.0,0.7626
10.52,4.0,0.8101
0.0,12.0,3.52e-07
0.01,12.0,0.000177
0.02,12.0,0.000356
0.04,12.0,0.000715
0.08,12.0,0.0014
0.12,12.0,0.0022
0.2,12.0,0.0037
0.28,12.0,0.0054
0.44,12.0,0.0091
0.6,12.0,0.0133
0.92,12.0,0.0241
1.24,12.0,0.0377
1.88,12.0,0.077
2.52,12.0,0.1284
3.52,12.0,0.2299
4.52,12.0,0.3395
5.52,12.0,0.4457
6.52,12.0,0.5416
7.52,12.0,0.6245
8.52,12.0,0.6942
9.52,12.0,0.7519
10.52,12.0,0.7992
0.0,20.0,3.52e-07
0.01,20.0,0.000177
0.02,20.0,0.000355
0.04,20.0,0.000711
0.08,20.0,0.0014
0.12,20.0,0.0021
0.2,20.0,0.0036
0.28,20.0,0.0052
0.44,20.0,0.0086
0.6,20.0,0.0123
0.92,20.0,0.0211
1.24,20.0,0.0313
1.88,20.0,0.0574
2.52,20.0,0.0884
3.52,20.0,0.1449
4.52,20.0,0.2049
5.52,20.0,0.265
6.52,20.0,0.3232
7.52,20.0,0.3783
8.52,20.0,0.4298
9.52,20.0,0.4775
10.52,20.0,0.5216
